観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
入間万燈まつり,入間市,向陽台（周辺）,祭り通り（けやき通り、ひばり通り、茶の花通り）では万燈行列、山車の引回し、創作御輿の競演、市民等による出店等があります。また、彩の森入間公園での一坪市や、祭り館（産業文化センター）ダンスバラエティなど数多くのイベントが開催されます。,04-2964-1111㈹（入間市役所自治文化課）,例年１０月中旬の土・日曜日,-,無料,http://iruma-mandoumatsuri.com/
柊塚古墳歴史広場,朝霞市,岡３－２６,「柊塚古墳」は埼玉県指定史跡の６世紀前半の前方後円墳で、歴史広場として整備されています。古墳の保存とともに緑地も保護し、敷地内には古墳の復元模型や、出土品をモデルとした家型埴輪の多目的トイレ、馬形埴輪のモニュメントなどが設置されています。,048-469-2285（朝霞市立博物館）,（４月～９月）９：００～１８：００（１０月～３月）・・・９：００～１７：００,なし,無料,＊＊＊
出雲祝神社,入間市,宮寺1,狭山丘陵の北麓に鎮座するこの神社は宮寺郷の総鎮守です。延喜式内社とされる古社で、昔から「ゆるぎ様（寄木様）」と親しまれており、出雲大社（寄木の造営）と同じく「むすび」の神として信仰の深い神社です。また、アニメ映画「ホッタラケの島」の中で物語序盤の舞台になっています。,04-2964-4889（入間市観光協会）,常時開放,なし,無料,http://www.city.iruma.saitama.jp/genki/hottarake/jinjya.html
彩夏祭,朝霞市,朝霞中央公園と青葉台公園およびその周辺、北朝霞公園,毎年８月初旬の３日間、朝霞市内２ヵ所の会場で開催します。メインは、鳴子踊りのイベント「関八州よさこいフェスタ」そして「打ち上げ花火」です。また、フリーマーケットや商工まつり、その他さまざまな催し物・出店など盛りだくさんの内容で盛大に開催されます。,048-463-2645（地域づくり支援課）,例年８月初旬３日間,＊＊＊,無料,http://saikasai.com
滝ノ入ローズガーデン,毛呂山町,滝ノ入910,周りをぐるりと山にかこまれ、周囲の自然と一体になった美しいバラ園です。１，５００本、４００種のバラが咲きます。長いバラのアーチや、変化に富んだ散策道を歩くと、芳しいバラの香りに包まれます。開園中は、毛呂山町役場ホームページで開花状況が確認頂けます。,049-295-2112（毛呂山町役場/産業振興課商工観光係）,９：００～１５：００,５月下旬～６月上旬および１０月下旬に行われるバラ祭りの期間のみ開園します。,無料～３００円（時期により異なります）,http://www.town.moroyama.saitama.jp
出雲伊波比神社,毛呂山町,岩井西5-17-1,毎年１１月３日には、流鏑馬が奉納されることで有名な神社です。神社に伝わる「臥龍山宮伝記」によると、その歴史は景行天皇の５３年までさかのぼります。現在の本殿、亨祿元年（１５２８年）に毛呂顕繁が再建したもので、一間社流造、県内最古の神社建築であり、棟札二面と併せて国の重要文化財に指定されています。,049-294-5317,＊＊＊,＊＊＊,＊＊＊,http://www.town.moroyama.saitama.jp
鶴ヶ島市農業交流センター,鶴ヶ島市,高倉534-3,農村と住民との交流の場として利用できる情報交換室及び交流広場があり、さつま芋ほり体験、栗拾い体験や地場産野菜を使った料理講習会も開催しています。また、春には「菜の花まつり」、秋には「高倉ふるさとまつり」といったまつりを開催したり、菜の花やアヤメ、彼岸花など季節の花による景観づくりなどを行っています。,049-279-3335,８時３０分～５時５分（土、日、祭日を除く）,１２/２８?１/４,-,http://www.city.tsurugashima.lg.jp/shisetsu/nougyou_center/
武州川口七福神めぐり,川口市,戸塚2-6-29（西光院）,西光院（弁財天）／密蔵院（大黒天）／傑傳寺（恵美寿）／正覚寺（布袋）／錫丈寺（福禄寿）／吉祥院（毘沙門天）／正眼寺（寿老人）の七つの寺院で構成されています。川口市ほぼ全域をまわる約２０キロメ－トルのコ－スで、郷土の名所や旧跡も巡る事が出来ます。,048-228-2111（川口市観光物産協会）,-,-,-,http://www.kawakan2.jp/7fukujin.html
鴻巣フラワーセンター,鴻巣市,寺谷125,東日本最大級の花き卸売り市場。週３回行われる競りでは、県内外から多くの買参人が訪れます。市場内に見学コースやレストランなどを併設しています。レストランでは、まちの魚がし屋が吟味した食材にて海の幸を提供しています。※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設,048-597-5300,８：３０～１７：００,土曜日,入館無料,http://www.kounosukaki.co.jp/market/index.htm
花と音楽の館かわさと「花久の里」,鴻巣市,関新田343,長屋門や母屋、離れなど地方の旧家のたたずまいを残した趣ある館。丁寧に手入れされた庭も多くの観光客で賑わいます。手打ちうどんが自慢の食事処や、喫茶コーナーもあります。また、定期的にバラまつりやコンサートが開かれています。,048-569-3811,９：００～１７：００,火曜日（祝日の場合は翌日）,会議室等の使用は有料,http://www.kakyunosato.or.jp/
鴻巣農産物直売所　パンジーハウス,鴻巣市,寺谷165-3,全国有数の「花の生産地鴻巣」の主産地区内フラワー通り沿いにある園芸店・農産物直売所です。鴻巣産のパンジー・ビオラ、シクラメン、プリムラなど多くの花を扱っています。また、敷地内には、地産地食堂「てらや」やベーカリー「オリーブ」もあります。,048-569-8122,９：００～１８：００,年中無休,＊＊＊,http://www.pansyhouse.com/
地産地食堂　てらや,鴻巣市,寺谷165-3,鴻巣農産物直売所「パンジーハウス」に併設される食事処です。鴻巣産小麦粉を自家生産・製粉・製麺のオール自家製うどん店です。本館では、地元産米、野菜をふんだんに使用した米食中心の食堂。「地産地消」をモットーにし、安心安全の食材供給を行っています。,048-596-6500,＜本館＞１１：００～１８：００＜別館＞１０：００～１６：００,年中無休,-,http://www.pansyhouse.com/sub2.html
荒川パノラマ公園,鴻巣市,大芦1366,３６０°のパノラマが楽しめる展望台が自慢の公園です。ローラー式すべり台はじめアスレチック遊具も豊富でお子様連れでも満喫出来ます。ポピー、ラベンダー、コスモスなど四季折々の花が咲き乱れ、花の名所としても知られています。,048-541-1321（鴻巣市役所農政課）,常時開放,なし,無料,http://www.konosu-kanko.jp/
鴻巣びっくりひな祭り,鴻巣市,中央1-1,鴻巣市における人形製作は、約３８０年の歴史があり、鴻巣の貴重な伝統工芸として現在に伝えられています。そこで、歴史ある鴻巣雛のまちとして、『ひな人形のふるさと～鴻巣～』を広く宣伝する事を目的とし、市役所ロビーには日本一の高さを誇るピラミッドひな壇が飾られます。,048-541-1321（鴻巣市商工観光課）048-542-1169（鴻巣市観光協会）,開催期間：２月中旬から３月上旬平日９：００～１７：００土日祝９：００～１６：００,期間中は毎日開催,無料,http://kounosubina.main.jp/
桶川市べに花ふるさと館,桶川市,加納419-1,母屋は明治の旧家を長屋門とともに改築したもので、ミニコンサート・ミニギャラリーなどの各種イベントが行われます。桶川市では冠婚葬祭などの際に、昔から多くの家庭で「手打ちうどん」が供されてきたことから、手打ちうどんもご提供・販売しています。また、べに花の見頃の６月下旬～７月初旬にかけて「べに花まつり」が開催されます。※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設,048-729-1611,９：００～２１：００※手打ちうどんコーナーは１１：００～２０：００,月曜日（月曜日が祝日の場合、翌火曜日）,無料,http://www.furusatokan.or.jp/
桶川市歴史民俗資料館,桶川市,川田谷４４０５－４,後谷遺跡の出土品、桶川と紅花の関わりや中山道桶川宿に関する展示のほか、熊野神社古墳出土品を精密に複製した展示物など桶川の歴史と文化を知ることのできる施設です。展示ホールと展示室では、「台地と道」をテーマとして原始・古代から現代に至る桶川の歴史と文化を展示品や映像を使って紹介しています。,048-786-4043,９：００～１６：３０,・祝日・月末・年末年始,無料,http://www.city.okegawa.lg.jp/cts/707000/10010n/10010n.html
荒川水管橋,鴻巣市,大芦,全長１，１０１ｍで、長さ日本一の水管橋です。荒川コスモス街道に挟まれているので、開花時期には満開のコスモスのコスモス散策も楽しめます。また、水管橋のバックに沈む夕日は絶景で、多くのフォトグラファーの絶好の撮影地としても知られています。,048-541-1321（鴻巣市商工観光課）048-542-1169（鴻巣市観光協会）,常時開放,なし,無料,http://www.konosu-kanko.jp/
